conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Construct and Validate Infrastructure,"The act of building to agreed designs in accordance with agreed standards and constraints, assuring that the infrastructure meets with those designs and policy and is fit to be brought into service.",Value Stream Stage,,Deploy Infrastructure,,Deploy Infrastructure,6,,
,Bring Infrastructure into Use,The act of opening the infrastructure to use.,Value Stream Stage,,Deploy Infrastructure,,Deploy Infrastructure,7,,
,Develop Human Resource Career,"The end-to-end perspective of developing an individual's career, from performance assessment to skills and experience enhancement and individual redeployment.",Value Stream,,,,,,,
,Initiate Career Evaluation,"The act of initiating the evaluation of an individual, triggered either by the individual or their manager.",Value Stream Stage,,Develop Human Resource Career,,Develop Human Resource Career,1,,
,Evaluate Human Resource,"The act of assessing the individual's skills and abilities, identifying potential career opportunities, and defining development plans to support those opportunities.",Value Stream Stage,,Develop Human Resource Career,,Develop Human Resource Career,2,,
,Develop Human Resource,The act of supporting the individual to execute their development plan and achieve the skills and experience required to meet desired career opportunities.,Value Stream Stage,,Develop Human Resource Career,,Develop Human Resource Career,3,,
,Transition Human Resource,"The act of transitioning the individual into the desired career opportunity, along with adjustment of compensation and rewards as needed.",Value Stream Stage,,Develop Human Resource Career,,Develop Human Resource Career,4,,
,Develop Strategy,"The end-to-end perspective of developing or refining a set of integrated and aligned visions, goals, objectives, and courses of action that provide direction and guides activity.",Value Stream,,,,,,,
,Initiate Strategy Formulation,The act of commencing a development or refinement of a strategy based on a given business situation or opportunity.,Value Stream Stage,,Develop Strategy,,Develop Strategy,1,,
,Develop Strategy Scope,The act of determining the purpose and constraints of the strategy through articulation of vision and goals.,Value Stream Stage,,Develop Strategy,,Develop Strategy,2,,
,Finalize Objectives,The act of formulating objectives and associated key metrics.,Value Stream Stage,,Develop Strategy,,Develop Strategy,3,,
,Finalize Strategy,"The act of validating, finalizing, and disseminating the strategy, which includes determining courses of action, related constraints, and desired outcomes.",Value Stream Stage,,Develop Strategy,,Develop Strategy,4,,
,Disseminate Information,"The end-to-end perspective of requesting, creating, and delivering of information products to requester.",Value Stream,,,,,,,
,Request Information,The act of requesting information.,Value Stream Stage,,Disseminate Information,,Disseminate Information,1,,
,Source Information,The act of identifying the sources of information required to fulfill the request.,Value Stream Stage,,Disseminate Information,,Disseminate Information,2,,
,Process Information,"The act of creating the information product by extracting, transforming, loading, and aggregating the sources of information as needed, as well as validating its quality.",Value Stream Stage,,Disseminate Information,,Disseminate Information,3,,
,Package Information,The act of preparing information for consumption.,Value Stream Stage,,Disseminate Information,,Disseminate Information,4,,
,Deliver Information,The act of delivering information to requester.,Value Stream Stage,,Disseminate Information,,Disseminate Information,5,,
,Ensure Policy Compliance,"The end-to-end perspective of ensuring conformance with legislation and organization-driven policies, from identifying compliance requirements, implementing controls, evaluating controls' effectiveness, addressing compliance incidents, and reporting compliance as required.",Value Stream,,,,,,,
