conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Event -> Evidence,Related information concept link from Event to Evidence,Information Concept Link,,Event,,Event,19,,Evidence
,Event -> Financial Account,Related information concept link from Event to Financial Account,Information Concept Link,,Event,,Event,20,,Financial Account
,Event -> Financial Forecast,Related information concept link from Event to Financial Forecast,Information Concept Link,,Event,,Event,21,,Financial Forecast
,Event -> Financial Instrument,Related information concept link from Event to Financial Instrument,Information Concept Link,,Event,,Event,22,,Financial Instrument
,Event -> Financial Transaction,Related information concept link from Event to Financial Transaction,Information Concept Link,,Event,,Event,23,,Financial Transaction
,Event -> Geographic Border,Related information concept link from Event to Geographic Border,Information Concept Link,,Event,,Event,24,,Geographic Border
,Event -> Geographic Space,Related information concept link from Event to Geographic Space,Information Concept Link,,Event,,Event,25,,Geographic Space
,Event -> Goal,Related information concept link from Event to Goal,Information Concept Link,,Event,,Event,26,,Goal
,Event -> Government Service,Related information concept link from Event to Government Service,Information Concept Link,,Event,,Event,27,,Government Service
,Event -> Health Condition,Related information concept link from Event to Health Condition,Information Concept Link,,Event,,Event,28,,Health Condition
,Event -> Human Resource,Related information concept link from Event to Human Resource,Information Concept Link,,Event,,Event,29,,Human Resource
,Event -> Incident,Related information concept link from Event to Incident,Information Concept Link,,Event,,Event,30,,Incident
,Event -> Infrastructure,Related information concept link from Event to Infrastructure,Information Concept Link,,Event,,Event,31,,Infrastructure
,Event -> Initiative,Related information concept link from Event to Initiative,Information Concept Link,,Event,,Event,32,,Initiative
,Event -> Inquiry,Related information concept link from Event to Inquiry,Information Concept Link,,Event,,Event,33,,Inquiry
,Event -> Intellectual Property Rights,Related information concept link from Event to Intellectual Property Rights,Information Concept Link,,Event,,Event,34,,Intellectual Property Rights
,Event -> Interaction,Related information concept link from Event to Interaction,Information Concept Link,,Event,,Event,35,,Interaction
,Event -> Investment Portfolio,Related information concept link from Event to Investment Portfolio,Information Concept Link,,Event,,Event,36,,Investment Portfolio
,Event -> Job,Related information concept link from Event to Job,Information Concept Link,,Event,,Event,37,,Job
,Event -> Language,Related information concept link from Event to Language,Information Concept Link,,Event,,Event,38,,Language
,Event -> License,Related information concept link from Event to License,Information Concept Link,,Event,,Event,39,,License
,Event -> Location,Related information concept link from Event to Location,Information Concept Link,,Event,,Event,40,,Location
,Event -> Market,Related information concept link from Event to Market,Information Concept Link,,Event,,Event,41,,Market
,Event -> Material,Related information concept link from Event to Material,Information Concept Link,,Event,,Event,42,,Material
,Event -> Message,Related information concept link from Event to Message,Information Concept Link,,Event,,Event,43,,Message
,Event -> Monetary Amount,Related information concept link from Event to Monetary Amount,Information Concept Link,,Event,,Event,44,,Monetary Amount
,Event -> Natural Resource,Related information concept link from Event to Natural Resource,Information Concept Link,,Event,,Event,45,,Natural Resource
,Event -> Network,Related information concept link from Event to Network,Information Concept Link,,Event,,Event,46,,Network
,Event -> Objective,Related information concept link from Event to Objective,Information Concept Link,,Event,,Event,47,,Objective
,Event -> Operation,Related information concept link from Event to Operation,Information Concept Link,,Event,,Event,48,,Operation
,Event -> Order,Related information concept link from Event to Order,Information Concept Link,,Event,,Event,49,,Order
,Event -> Partner,Related information concept link from Event to Partner,Information Concept Link,,Event,,Event,50,,Partner
,Event -> Payment,Related information concept link from Event to Payment,Information Concept Link,,Event,,Event,51,,Payment
,Event -> Plan,Related information concept link from Event to Plan,Information Concept Link,,Event,,Event,52,,Plan
,Event -> Policy,Related information concept link from Event to Policy,Information Concept Link,,Event,,Event,53,,Policy
,Event -> Public Sector Entity,Related information concept link from Event to Public Sector Entity,Information Concept Link,,Event,,Event,54,,Public Sector Entity
,Event -> Research,Related information concept link from Event to Research,Information Concept Link,,Event,,Event,55,,Research
,Event -> Route,Related information concept link from Event to Route,Information Concept Link,,Event,,Event,56,,Route
,Event -> Schedule,Related information concept link from Event to Schedule,Information Concept Link,,Event,,Event,57,,Schedule
,Event -> Standard,Related information concept link from Event to Standard,Information Concept Link,,Event,,Event,58,,Standard
,Event -> Strategy,Related information concept link from Event to Strategy,Information Concept Link,,Event,,Event,59,,Strategy
,Event -> Tax,Related information concept link from Event to Tax,Information Concept Link,,Event,,Event,60,,Tax
,Event -> Time,Related information concept link from Event to Time,Information Concept Link,,Event,,Event,61,,Time
,Event -> Training Course,Related information concept link from Event to Training Course,Information Concept Link,,Event,,Event,62,,Training Course
,Event -> Trip,Related information concept link from Event to Trip,Information Concept Link,,Event,,Event,63,,Trip
,Event -> Vision,Related information concept link from Event to Vision,Information Concept Link,,Event,,Event,64,,Vision
,Event -> Vote,Related information concept link from Event to Vote,Information Concept Link,,Event,,Event,65,,Vote
,Event -> Work,Related information concept link from Event to Work,Information Concept Link,,Event,,Event,66,,Work
,Event -> Work Queue,Related information concept link from Event to Work Queue,Information Concept Link,,Event,,Event,67,,Work Queue
,Evidence,Category: Primary. Proof to support a proposition.,Information Concept,,,,,,,
,Demonstrative,Type for Evidence,Information Concept Type,,Evidence,,Evidence,1,,
,Real,Type for Evidence,Information Concept Type,,Evidence,,Evidence,2,,
,Testimonial,Type for Evidence,Information Concept Type,,Evidence,,Evidence,3,,
,Documentary,Type for Evidence,Information Concept Type,,Evidence,,Evidence,4,,
,Pending,State for Evidence,Information Concept State,,Evidence,,Evidence,1,,
,Validated,State for Evidence,Information Concept State,,Evidence,,Evidence,2,,
,Discredited,State for Evidence,Information Concept State,,Evidence,,Evidence,3,,
,Evidence -> Accreditation,Related information concept link from Evidence to Accreditation,Information Concept Link,,Evidence,,Evidence,1,,Accreditation
,Evidence -> Agreement,Related information concept link from Evidence to Agreement,Information Concept Link,,Evidence,,Evidence,2,,Agreement
,Evidence -> Biological Organism,Related information concept link from Evidence to Biological Organism,Information Concept Link,,Evidence,,Evidence,3,,Biological Organism
,Evidence -> Case,Related information concept link from Evidence to Case,Information Concept Link,,Evidence,,Evidence,4,,Case
,Evidence -> Channel,Related information concept link from Evidence to Channel,Information Concept Link,,Evidence,,Evidence,5,,Channel
,Evidence -> Claim,Related information concept link from Evidence to Claim,Information Concept Link,,Evidence,,Evidence,6,,Claim
,Evidence -> Constituent,Related information concept link from Evidence to Constituent,Information Concept Link,,Evidence,,Evidence,7,,Constituent
,Evidence -> Content,Related information concept link from Evidence to Content,Information Concept Link,,Evidence,,Evidence,8,,Content
,Evidence -> Dispute,Related information concept link from Evidence to Dispute,Information Concept Link,,Evidence,,Evidence,9,,Dispute
,Evidence -> Financial Account,Related information concept link from Evidence to Financial Account,Information Concept Link,,Evidence,,Evidence,10,,Financial Account
,Evidence -> Financial Transaction,Related information concept link from Evidence to Financial Transaction,Information Concept Link,,Evidence,,Evidence,11,,Financial Transaction
,Evidence -> Geographic Border,Related information concept link from Evidence to Geographic Border,Information Concept Link,,Evidence,,Evidence,12,,Geographic Border
,Evidence -> Geographic Space,Related information concept link from Evidence to Geographic Space,Information Concept Link,,Evidence,,Evidence,13,,Geographic Space
,Evidence -> Government Service,Related information concept link from Evidence to Government Service,Information Concept Link,,Evidence,,Evidence,14,,Government Service
,Evidence -> Human Resource,Related information concept link from Evidence to Human Resource,Information Concept Link,,Evidence,,Evidence,15,,Human Resource
,Evidence -> Incident,Related information concept link from Evidence to Incident,Information Concept Link,,Evidence,,Evidence,16,,Incident
,Evidence -> Inquiry,Related information concept link from Evidence to Inquiry,Information Concept Link,,Evidence,,Evidence,17,,Inquiry
,Evidence -> Intellectual Property Rights,Related information concept link from Evidence to Intellectual Property Rights,Information Concept Link,,Evidence,,Evidence,18,,Intellectual Property Rights
,Evidence -> Language,Related information concept link from Evidence to Language,Information Concept Link,,Evidence,,Evidence,19,,Language
,Evidence -> Legislation,Related information concept link from Evidence to Legislation,Information Concept Link,,Evidence,,Evidence,20,,Legislation
,Evidence -> License,Related information concept link from Evidence to License,Information Concept Link,,Evidence,,Evidence,21,,License
